Symbol,50 SMA % Difference,200 SMA % Difference,50 Day EMA % Difference,200 Day EMA % Difference,Beta value,Cluster
USDC-USD,0.011402376414322058,0.005584930998846873,0.011451779927978824,0.007433531380555311,-0.0002631560971474669,0.0
USDT-USD,9.183927820884433e-06,-0.05183341290393871,0.007502448077733594,-0.038621112683490805,0.004779794182058583,0.0
XTZ-USD,-18.532417907459795,-32.52788246092575,-17.287206745841594,-26.973165510351954,0.9562780273127921,1.0
AVAX-USD,-21.406283504447842,-34.072640024576614,-18.38183390762212,-24.80805350090677,1.129020213964699,1.0
BAT-USD,-19.919013249485342,-30.70940739872262,-17.792338101667347,-26.53305926940889,0.9673658067177899,1.0
BCH-USD,-21.96448708314409,-12.020896544615765,-18.970343147767544,-14.10798360049254,1.0079788182379736,1.0
UNI-USD,-18.630177575788107,-38.455455548109136,-17.792483070163282,-39.219317758776896,1.2429264382945588,1.0
DOGE-USD,-23.94664074325095,-15.833289861474995,-20.319150675852747,-16.32410388195219,1.2675817283376307,1.0
SHIB-USD,-30.22780835654058,-21.06789654408175,-25.6838813587979,-21.679327879705987,1.1957920858391127,1.0
MKR-USD,-10.490565917322062,-7.282822569985234,-9.649363147360443,-5.309519224823547,0.5990706804747307,2.0
AAVE-USD,-12.25302557241671,-18.18914944958371,-10.823273414400703,-13.921438352492292,0.9776177094517643,2.0
LINK-USD,-17.101953964935923,-20.435480155893504,-12.919807853984594,-14.18436074371645,0.8873585261132214,2.0
DOT-USD,-12.686595466881586,-24.05214101661327,-10.925475153238983,-17.23530904100301,0.9651652557698414,2.0
BTC-USD,-11.75363458946479,-0.056912807791862904,-9.338568216268412,0.13238365586472012,1.0027397260273978,2.0
LTC-USD,-15.31465061624444,-15.302746046162172,-13.515040888366197,-16.1009251568413,0.7442123508127897,2.0
ETH-USD,-11.27034841849815,2.1525849549597234,-8.626047686138696,1.953995023072455,0.9001151609234154,2.0
SUSHI-USD,-33.46043955263178,-45.77246664421773,-30.057790527832033,-39.990043096854656,1.0292941806061278,3.0
CRV-USD,-34.28927798763989,-51.232478156108144,-30.708881541410488,-48.12856581854292,1.060804456123221,3.0
