Cluster,Percentage,Dollars In Cluster,Num Stocks,Amount Per Stock,Tickers
0,0.2,200000.0,29,6896,"['GOOGL', 'GOOG', 'AMZN', 'AMAT', 'ANET', 'AVGO', 'CEG', 'CRWD', 'FICO', 'FSLR', 'GE', 'ISRG', 'KKR', 'KLAC', 'LRCX', 'META', 'MU', 'MPWR', 'NTAP', 'NFLX', 'NVDA', 'NXPI', 'ORCL', 'QCOM', 'RCL', 'SMCI', 'TER', 'VST', 'WDC']"
1,0.4,400000.0,164,2439,"['ABT', 'ABBV', 'AFL', 'LNT', 'ALL', 'MO', 'AMCR', 'AEE', 'AEP', 'AIG', 'AMT', 'AWK', 'AME', 'AON', 'ACGL', 'ADM', 'AJG', 'AIZ', 'T', 'ATO', 'ADP', 'AZO', 'BKR', 'BDX', 'BRK-B', 'BR', 'BG', 'CPB', 'CAH', 'CBOE', 'COR', 'CNC', 'CNP', 'CHRW', 'CVX', 'CB', 'CHD', 'CI', 'CINF', 'CSCO', 'CLX', 'CME', 'CMS', 'KO', 'CL', 'CAG', 'COP', 'ED', 'STZ', 'CTVA', 'CTRA', 'CSX', 'CMI', 'DRI', 'DVN', 'DG', 'D', 'DTE', 'DUK', 'DD', 'EIX', 'EA', 'ELV', 'ETR', 'EOG', 'EG', 'EVRG', 'ES', 'EXC', 'XOM', 'FAST', 'FRT', 'FE', 'FOXA', 'FOX', 'GD', 'GIS', 'GILD', 'HIG', 'HSY', 'HES', 'HOLX', 'HON', 'HRL', 'HUM', 'HII', 'IBM', 'INCY', 'JKHY', 'J', 'JNJ', 'JNPR', 'K', 'KDP', 'KMB', 'KMI', 'KHC', 'KR', 'LHX', 'LH', 'LIN', 'LMT', 'L', 'LYB', 'MRO', 'MPC', 'MMC', 'MA', 'MKC', 'MCD', 'MCK', 'MDT', 'MRK', 'MET', 'MDLZ', 'NI', 'NOC', 'ORLY', 'OXY', 'OMC', 'PKG', 'PAYX', 'PEP', 'PFE', 'PCG', 'PM', 'PSX', 'PNW', 'PPL', 'PFG', 'PG', 'PGR', 'PEG', 'DGX', 'RTX', 'O', 'REG', 'RSG', 'ROP', 'SRE', 'SJM', 'SO', 'STT', 'SYK', 'SYY', 'TMUS', 'TGT', 'TXT', 'TRV', 'TSN', 'UNP', 'UNH', 'VRSK', 'VZ', 'VTRS', 'V', 'WRB', 'WMT', 'DIS', 'WM', 'WEC', 'WTW', 'XEL', 'YUM']"
2,0.2,200000.0,113,1769,"['AOS', 'ACN', 'A', 'APD', 'AKAM', 'ALLE', 'AAL', 'APA', 'APTV', 'BALL', 'BBWI', 'BAX', 'BIO', 'TECH', 'BIIB', 'BA', 'BWA', 'BMY', 'BF-B', 'CDW', 'CE', 'CF', 'CHTR', 'CTSH', 'CMCSA', 'COO', 'CPAY', 'CSGP', 'CCI', 'CVS', 'DHR', 'DAY', 'DE', 'DXCM', 'DLTR', 'DOW', 'EPAM', 'EQT', 'EQIX', 'EL', 'ETSY', 'EXPE', 'EXPD', 'FFIV', 'FDS', 'FMC', 'FTV', 'BEN', 'GPC', 'GPN', 'GL', 'HAL', 'HSIC', 'HD', 'HST', 'IEX', 'ITW', 'INTC', 'IPG', 'IQV', 'JBHT', 'JBL', 'KVUE', 'KEYS', 'LW', 'LVS', 'LKQ', 'LOW', 'LULU', 'MKTX', 'MAS', 'MTCH', 'MOH', 'TAP', 'MNST', 'MOS', 'MSCI', 'NKE', 'NDSN', 'NSC', 'NUE', 'ODFL', 'PCAR', 'PARA', 'PAYC', 'POOL', 'PPG', 'PLD', 'RVTY', 'SBAC', 'SLB', 'SHW', 'SNA', 'LUV', 'SWK', 'SBUX', 'STE', 'TTWO', 'TDY', 'TFX', 'TMO', 'ULTA', 'UPS', 'VRSN', 'VICI', 'WBA', 'WBD', 'WAT', 'WST', 'WY', 'WYNN', 'ZBH', 'ZTS']"
3,0.1,100000.0,126,793,"['MMM', 'AXP', 'AMP', 'AMGN', 'APH', 'ADI', 'AAPL', 'AVB', 'AVY', 'AXON', 'BAC', 'BK', 'BBY', 'BKNG', 'BSX', 'BRO', 'CPT', 'COF', 'CTLT', 'SCHW', 'CMG', 'CTAS', 'C', 'GLW', 'COST', 'DVA', 'DECK', 'DAL', 'FANG', 'DLR', 'DFS', 'DPZ', 'DOV', 'EMN', 'ETN', 'EBAY', 'ECL', 'EW', 'LLY', 'EMR', 'EQR', 'ESS', 'EXR', 'FDX', 'FIS', 'FITB', 'FI', 'F', 'FCX', 'GRMN', 'GEN', 'GM', 'GDDY', 'GS', 'HAS', 'HCA', 'DOC', 'HPE', 'HLT', 'HWM', 'HPQ', 'HBAN', 'IR', 'ICE', 'IFF', 'IP', 'INVH', 'IRM', 'JCI', 'JPM', 'KIM', 'LDOS', 'MTB', 'MAR', 'MTD', 'MSFT', 'MAA', 'MRNA', 'MCO', 'MS', 'MSI', 'NDAQ', 'NEM', 'NWSA', 'NWS', 'NEE', 'NTRS', 'NRG', 'OKE', 'PNC', 'PRU', 'PTC', 'PSA', 'RL', 'RJF', 'REGN', 'RF', 'ROL', 'ROST', 'SPGI', 'STX', 'SPG', 'STLD', 'SYF', 'TPR', 'TRGP', 'TEL', 'TXN', 'TJX', 'TSCO', 'TT', 'TDG', 'TRMB', 'TYL', 'UDR', 'UHS', 'VLO', 'VTR', 'VRTX', 'GWW', 'WAB', 'WFC', 'WELL', 'WRK', 'WMB', 'XYL']"
4,0.1,100000.0,67,1492,"['ADBE', 'AMD', 'AES', 'ABNB', 'ALB', 'ARE', 'ALGN', 'ANSS', 'ADSK', 'BLK', 'BX', 'BXP', 'BLDR', 'CDNS', 'CZR', 'KMX', 'CCL', 'CARR', 'CAT', 'CBRE', 'CRL', 'CFG', 'CPRT', 'DHI', 'ENPH', 'EFX', 'FTNT', 'IT', 'GEHC', 'GNRC', 'HUBB', 'IDXX', 'PODD', 'INTU', 'IVZ', 'KEY', 'LEN', 'LYV', 'MLM', 'MGM', 'MCHP', 'MHK', 'NCLH', 'NVR', 'ON', 'PANW', 'PH', 'PYPL', 'PNR', 'PHM', 'QRVO', 'PWR', 'RMD', 'ROK', 'CRM', 'NOW', 'SWKS', 'SNPS', 'TROW', 'TSLA', 'TFC', 'USB', 'UBER', 'UAL', 'URI', 'VMC', 'ZBRA']"
