Cluster,Percentage,Dollars In Cluster,Num Stocks,Amount Per Stock,Tickers
0,0.2,189.74,11.0,17.25,"['AAVE-USD', 'AVAX-USD', 'BAT-USD', 'BCH-USD', 'DOGE-USD', 'DOT-USD', 'LINK-USD', 'LTC-USD', 'SHIB-USD', 'UNI-USD', 'XTZ-USD']"
1,0.4,379.49,2.0,189.74,"['USDC-USD', 'USDT-USD']"
2,0.2,189.74,3.0,63.25,"['BTC-USD', 'ETH-USD', 'MKR-USD']"
3,0.2,189.74,2.0,94.87,"['CRV-USD', 'SUSHI-USD']"
