Symbol,Daily $ Volume,50 SMA % Difference,200 SMA % Difference,Beta value,Sharpe Ratio,Volatility,RSI,Cluster
ETH-USD,13001405440.0,-10.59046053691975,0.23222426582153885,0.9049408609397886,0.8895655238183874,0.45307145271546784,37.148311766328625,0
UNI-USD,10.0,-10.482317054518827,-37.7458811966995,1.2379962564151568,0.9939808512242179,4.3875095006557965,41.54700958204278,0
SUSHI-USD,12397403.0,-26.10660966651298,-43.377431190784215,1.0596136137803818,0.4339685169042775,0.8935969591999774,35.70642554358972,0
SHIB-USD,208971952.0,-19.23593083076444,-15.706037723384592,1.2039674636278803,0.9030096488121839,1.0322630760213438,44.62912578594392,0
LTC-USD,310758368.0,-8.943606360683487,-12.310061403391991,0.7535171287789014,-0.2717880859052423,0.5218295686068719,44.77225774263759,0
LINK-USD,295067040.0,-16.093981818501213,-22.125861032035175,0.9027252821245925,0.9808377289455826,0.6733932627827209,42.449030334545945,0
DOT-USD,145609344.0,-5.011184403450344,-19.165760862940374,0.9791208964767718,0.40182142349113076,0.596771878302453,48.51640428100159,0
XTZ-USD,21105952.0,-7.47752204337966,-25.84924799373301,0.9697937614926448,0.11095856660782745,0.5714321369019559,51.32479513381875,0
CRV-USD,62599520.0,-22.075133956078375,-45.00454270999791,1.076801598108068,-0.6690321991566788,0.735431673065274,49.906272081865474,0
BTC-USD,26065487872.0,-10.439991893860578,-2.161781507709979,1.0027397260273971,1.1805649133893776,0.3980142878739929,42.03928833163841,0
BCH-USD,234807728.0,-11.344466058830688,-6.523722520553485,1.031305639057652,0.5215369290796165,0.8013506893765161,45.56090550038606,0
BAT-USD,30094100.0,-12.9640803909599,-27.875677640676283,0.9789723194459378,0.0991460213183275,0.5721137064632844,42.12665079105674,0
AVAX-USD,243623104.0,-14.220406580423855,-31.009344432801406,1.1431615323955984,0.9387806905538563,0.7447866081557588,43.998399928439014,0
DOGE-USD,476086496.0,-20.620674186202475,-17.564511293331986,1.281319037019661,0.7624348301141974,0.7093354559267719,34.722910281273286,0
USDT-USD,47144058880.0,0.07400594744048072,0.02456197585946766,0.004652080295498325,-8.516415455308513,0.005974481659533892,76.44972379026171,1
USDC-USD,5400302592.0,-0.0007194423979234171,-0.006421357606149289,-0.0002286523801648147,-20.426206784328794,0.002501505287808454,46.13003095975232,1
MKR-USD,128928480.0,3.2318290295557746,1.4210505892602467,0.6325713157632136,1.3421911089007201,0.6402826419195753,51.00895954256259,2
AAVE-USD,118653744.0,5.0578974588458,-2.482675251385355,0.9797969975793597,0.5105682287523704,0.6544986892192078,53.632797955283564,2
