Cluster,Percentage,Dollars In Cluster,Num Stocks,Amount Per Stock,Tickers
0,0.2,187.39,8.0,23.42,"['AAVE-USD', 'BCH-USD', 'BTC-USD', 'DOT-USD', 'ETH-USD', 'LINK-USD', 'LTC-USD', 'MKR-USD']"
1,0.4,374.77,2.0,187.38,"['USDC-USD', 'USDT-USD']"
2,0.2,187.39,7.0,26.77,"['AVAX-USD', 'BAT-USD', 'CRV-USD', 'DOGE-USD', 'SHIB-USD', 'SUSHI-USD', 'XTZ-USD']"
3,0.2,187.39,1.0,187.39,['UNI-USD']
